userid,first_name,last_name,email,age,status
1,John,Doe,john@example.com,30,active
2,Jane,Smith,jane@example.com,25,inactive
3,Bob,Johnson,bob@example.com,35,active
4,Alice,Brown,alice@example.com,28,active
5,Charlie,Davis,charlie@example.com,32,inactive
6,Diana,Evans,diana@example.com,29,active
7,Edward,Foster,edward@example.com,31,inactive
8,Fiona,Green,fiona@example.com,27,active
9,George,Harris,george@example.com,33,inactive
10,Harry,Jones,harry@example.com,34,active
11,Ivy,Lee,ivy@example.com,26,inactive
12,Jack,Moore,jack@example.com,36,active
13,Lily,Nash,lily@example.com,24,inactive
14,Michael,Owen,michael@example.com,37,active
15,Nina,Parker,nina@example.com,23,inactive
16,Oliver,Quinn,oliver@example.com,38,active
17,Penelope,Roberts,penelope@example.com,22,inactive
18,Quentin,Smith,quentin@example.com,39,active
19,Rachel,Taylor,rachel@example.com,21,inactive
20,Samuel,Upton,samuel@example.com,40,active
